archive_rel,size_bytes,category,target_rel,similarity
Components/UI/Buttons/SecondaryButton.vue,406,basename-similar,js/src/shared/ui/molecules/Buttons/SecondaryButton.vue,0.9711
Components/UI/CheckboxGroup.vue,4020,basename-similar,js/src/shared/ui/molecules/CheckboxGroup/CheckboxGroup.vue,0.9231
Components/UI/ConfirmModal.vue,2620,basename-similar,js/src/shared/ui/organisms/ConfirmModal/ConfirmModal.vue,0.6973
Components/UI/Forms/Checkbox.vue,481,basename-similar,js/src/shared/ui/organisms/Forms/Checkbox.vue,0.9668
Components/UI/Forms/InputError.vue,222,basename-similar,js/src/shared/ui/organisms/Forms/InputError.vue,0.9817
Components/UI/Forms/InputLabel.vue,211,basename-similar,js/src/shared/ui/organisms/Forms/InputLabel.vue,0.9758
Components/UI/Forms/TextInput.vue,553,basename-similar,js/src/shared/ui/organisms/Forms/TextInput.vue,0.9712
Components/UI/Modal.vue,2556,basename-similar,js/src/shared/ui/molecules/Modal/Modal.vue,0.7469
Components/UI/Navigation/Dropdown.vue,2301,basename-similar,js/src/shared/ui/molecules/Navigation/Dropdown.vue,0.8675
Components/UI/Navigation/DropdownLink.vue,412,basename-similar,js/src/shared/ui/molecules/Navigation/DropdownLink.vue,0.8551
Components/UI/Navigation/NavLink.vue,845,basename-similar,js/src/shared/ui/molecules/Navigation/NavLink.vue,0.9096
Components/UI/Navigation/ResponsiveNavLink.vue,928,basename-similar,js/src/shared/ui/molecules/Navigation/ResponsiveNavLink.vue,0.9887
Components/UI/Toast.vue,6784,basename-similar,js/src/shared/ui/molecules/Toast/Toast.vue,0.9006
Composables/useAdForm.js,9196,exact,js/Composables/useAdForm.js,
Composables/useAutosave.js,3895,exact,js/Composables/useAutosave.js,
Composables/useErrorHandler.js,28,basename-similar,js/src/shared/composables/useErrorHandler.ts,0.0089
Composables/useImages.js,1309,missing,,
Composables/useLockScroll.js,1075,missing,,
Composables/useMedia.js,3007,missing,,
Composables/useMediaQuery.js,937,missing,,
Composables/useNavigation.js,578,missing,,
Composables/useSwipeGesture.js,2283,missing,,
Composables/useToast.js,5360,basename-similar,js/src/shared/ui/molecules/Toast/useToast.ts,0.7623
Layouts/AppLayout.vue,2371,missing,,
Layouts/AuthLayout.vue,276,missing,,
Pages/AddItem.vue,2200,exact,js/Pages/AddItem.vue,
Pages/Ads/Show.vue,8397,exact,js/Pages/Ads/Show.vue,
Pages/Auth/ConfirmPassword.vue,1692,exact,js/Pages/Auth/ConfirmPassword.vue,
Pages/Auth/ForgotPassword.vue,1902,exact,js/Pages/Auth/ForgotPassword.vue,
Pages/Auth/Login.vue,746,exact,js/Pages/Auth/Login.vue,
Pages/Auth/Register.vue,824,exact,js/Pages/Auth/Register.vue,
Pages/Auth/ResetPassword.vue,2873,exact,js/Pages/Auth/ResetPassword.vue,
Pages/Auth/VerifyEmail.vue,1886,exact,js/Pages/Auth/VerifyEmail.vue,
Pages/Bookings/Index.vue,24450,exact,js/Pages/Bookings/Index.vue,
Pages/Bookings/NewBooking.vue,22707,exact,js/Pages/Bookings/NewBooking.vue,
Pages/Bookings/Show.vue,25704,exact,js/Pages/Bookings/Show.vue,
Pages/Compare/Index.vue,2811,exact,js/Pages/Compare/Index.vue,
Pages/Dashboard.vue,17651,exact,js/Pages/Dashboard.vue,
Pages/Demo/ItemCard.vue,7682,exact,js/Pages/Demo/ItemCard.vue,
Pages/Draft/Show.vue,12693,exact,js/Pages/Draft/Show.vue,
Pages/EditAd.vue,2788,exact,js/Pages/EditAd.vue,
Pages/Favorites/Index.vue,8507,exact,js/Pages/Favorites/Index.vue,
Pages/Home.vue,11651,exact,js/Pages/Home.vue,
Pages/Masters/Create.vue,5770,exact,js/Pages/Masters/Create.vue,
Pages/Masters/Edit.vue,8429,exact,js/Pages/Masters/Edit.vue,
Pages/Masters/Show.vue,26313,exact,js/Pages/Masters/Show.vue,
Pages/Messages/Index.vue,8075,exact,js/Pages/Messages/Index.vue,
Pages/Notifications/Index.vue,7979,exact,js/Pages/Notifications/Index.vue,
Pages/Payment/Checkout.vue,6786,exact,js/Pages/Payment/Checkout.vue,
Pages/Payment/SbpQr.vue,8507,exact,js/Pages/Payment/SbpQr.vue,
Pages/Payment/SelectPlan.vue,8182,exact,js/Pages/Payment/SelectPlan.vue,
Pages/Payment/Success.vue,2822,exact,js/Pages/Payment/Success.vue,
Pages/Profile/Edit.vue,1068,exact,js/Pages/Profile/Edit.vue,
Pages/Profile/Partials/DeleteUserForm.vue,3554,exact,js/Pages/Profile/Partials/DeleteUserForm.vue,
Pages/Profile/Partials/UpdatePasswordForm.vue,3825,exact,js/Pages/Profile/Partials/UpdatePasswordForm.vue,
Pages/Profile/Partials/UpdateProfileInformationForm.vue,3572,exact,js/Pages/Profile/Partials/UpdateProfileInformationForm.vue,
Pages/Reviews/Index.vue,17986,exact,js/Pages/Reviews/Index.vue,
Pages/Services/Index.vue,6045,exact,js/Pages/Services/Index.vue,
Pages/Settings/Index.vue,6440,exact,js/Pages/Settings/Index.vue,
Pages/Test.vue,1441,missing,,
Pages/Wallet/Index.vue,6026,exact,js/Pages/Wallet/Index.vue,
app.js,3143,exact,js/app.js,
bootstrap.js,127,exact,js/bootstrap.js,
stores/authStore.js,2943,basename-similar,js/stores/authStore.ts,0.6203
stores/bookingStore.js,11021,basename-similar,js/src/entities/booking/model/bookingStore.ts,0.8307
stores/favorites.js,2181,basename-similar,js/stores/favorites.ts,0.4719
stores/masterStore.js,4205,basename-similar,js/stores/masterStore.ts,0.5848
stores/projectStore.js,14612,missing,,
utils/adApi.js,7816,exact,js/utils/adApi.js,
utils/formOptions.js,2803,exact,js/utils/formOptions.js,
utils/formValidators.js,6154,exact,js/utils/formValidators.js,
utils/helpers.js,10271,exact,js/utils/helpers.js,
ziggy.js,10539,exact,js/ziggy.js,
